what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1427038509169
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1427038509170
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1427038509172
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1427038509173
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1427038509176
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1427038509180
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1427038509180
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1427038509182
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1427038509267
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1427038509269
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1427038509270
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1427038509282
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1427038509284
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1427038509285
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1427038509436
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1427038509437
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1427038509439
os,sysinfo,,,"win32",1427038509444
arch,sysinfo,,,"x86_64",1427038509444
ws,sysinfo,,,"win32",1427038509444
locale,sysinfo,,,"en_US",1427038509444
processors,sysinfo,,,"4",1427038509444
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1427038509444
java.runtime.version,sysinfo,,,"1.7.0_75-b13",1427038509444
java.specification.name,sysinfo,,,"Java Platform API Specification",1427038509444
java.specification.vendor,sysinfo,,,"Oracle Corporation",1427038509444
java.specification.version,sysinfo,,,"1.7",1427038509444
java.vendor,sysinfo,,,"Oracle Corporation",1427038509444
java.version,sysinfo,,,"1.7.0_75",1427038509444
java.vm.info,sysinfo,,,"mixed mode",1427038509444
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1427038509444
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1427038509444
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1427038509444
java.vm.specification.version,sysinfo,,,"1.7",1427038509444
java.vm.vendor,sysinfo,,,"Oracle Corporation",1427038509444
java.vm.version,sysinfo,,,"24.75-b04",1427038509444
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1427038509466
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1427038511001
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427038511254
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1427038511645
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1427038512717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427038513043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427038514808
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1427038518779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427038519076
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427038519701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427038519779
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427038526871
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427038526902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427038574330
